Label,Latitude,Longitude
RPT001,6.5320573,124.4632741
RPT002,6.4841795,124.4563903
RPT003,6.4811645,124.4175993
RPT004,6.4951764,124.4143316
RPT005,6.5383012,124.4086994
RPT006,6.5384753,124.4302179
RPT007,6.5385959,124.4330499
RPT008,6.5353197,124.4328880
RPT009,6.5368351,124.4359431
RPT010,6.5350788,124.4372347
RPT011,6.5318779,124.4373781
RPT012,6.5331593,124.4422630
RPT013,6.5346017,124.4441738
RPT014,6.5332907,124.4495851
RPT015,6.5345753,124.4533260
RPT016,6.5337250,124.4575183
RPT017,6.5308199,124.4607894
